status,priority,created,owner,local_id,verdict,title
BACKLOG,P2,2026-07-27,,fix-950-cppc-suffix,NO-VERIFY,[review-fix] fix-950-cppc-suffix
BACKLOG,P2,2026-07-27,,fix-937-smaps-overzero,NO-VERIFY,[review-fix] fix-937-smaps-overzero
BACKLOG,P2,2026-07-27,,fix-934-numa-host-leak,NO-VERIFY,[review-fix] fix-934-numa-host-leak
BACKLOG,P2,2026-07-27,,fix-932-scaling-freq-semantic,NO-VERIFY,[review-fix] fix-932-scaling-freq-semantic
BACKLOG,P2,2026-07-27,,fix-931-fdinfo-identity,NO-VERIFY,[review-fix] fix-931-fdinfo-identity
BACKLOG,P2,2026-07-27,,fix-930-litfloor-versionclaim,NO-VERIFY,[review-fix] fix-930-litfloor-versionclaim
BACKLOG,P2,2026-07-27,,fix-929-syscall-refuse-row,NO-VERIFY,[review-fix] fix-929-syscall-refuse-row
BACKLOG,P2,2026-07-27,,fix-928-sched-host-leak,NO-VERIFY,[review-fix] fix-928-sched-host-leak
BACKLOG,P2,2026-07-27,,fix-924-timerslack-kvm,NO-VERIFY,[review-fix] fix-924-timerslack-kvm
BACKLOG,P2,2026-07-27,,fix-919-prctl-kvm,NO-VERIFY,[review-fix] fix-919-prctl-kvm
BACKLOG,P2,2026-07-27,,fix-917-rtc-epoch,NO-VERIFY,[review-fix] fix-917-rtc-epoch
BACKLOG,P2,2026-07-27,,fix-910-filenr-max,NO-VERIFY,[review-fix] fix-910-filenr-max
BACKLOG,P2,2026-07-27,,fix-907-schedstat-policy,NO-VERIFY,[review-fix] fix-907-schedstat-policy
BACKLOG,P2,2026-07-27,,fix-880-netlink-autobind,NO-VERIFY,[review-fix] fix-880-netlink-autobind
BACKLOG,P2,2026-07-27,,fix-874-qemu-tcg-evidence,NO-VERIFY,[review-fix] fix-874-qemu-tcg-evidence
BACKLOG,P2,2026-07-27,,fix-868-vfork-barrier-test,NO-VERIFY,[review-fix] fix-868-vfork-barrier-test
BACKLOG,P1,2026-07-27,,rf-procfs-shared-access-mediation,NO-VERIFY,Fix: procfs/sysfs ProcfsFile mediation is bypassable (pread64/readv/preadv/lseek + relative/alias paths) and new determinism tests are not wired into 
BACKLOG,P1,2026-07-27,,rf-procfs-semantic-coherence,NO-VERIFY,Fix: procfs virtual files are semantically incoherent (host topology preserved w/ zeroed counters; fail-open parsers; paired-file inconsistency; over-
BACKLOG,P1,2026-07-27,,rf-backend-bypass-rr-dbi,NO-VERIFY,Fix: reclassified-Determinized syscalls bypass fixed handlers via DBI copied-children and record/replay subscriptions (execute host syscall)
BACKLOG,P1,2026-07-27,,rf-ioprio-semantics,NO-VERIFY,Fix: ioprio_get ignores who (no ESRCH) and ioprio_set is a no-op that cannot round-trip (#881)
BACKLOG,P1,2026-07-27,,rf-getsockopt-optlen-overlap,NO-VERIFY,Fix: getsockopt TCP_INFO canonicalization corrupts returned optlen when optval/optlen overlap (#904)
BACKLOG,P1,2026-07-27,,rf-socket-timestamp-ioctl,NO-VERIFY,Fix: SIOCGSTAMP* handler advances time per-query and ignores clock mode (#912)
BACKLOG,P1,2026-07-27,,rf-prctl-dumpable-virtualize,NO-VERIFY,"Fix-forward: PR_SET_DUMPABLE=0 physical passthrough breaks ptrace timer creation (perf_event_open denial) -- virtualize dumpability (#919, merged)"
BACKLOG,P1,2026-07-27,,rf-prctl-timerslack-virtualize,NO-VERIFY,Fix: PR_SET_TIMERSLACK physically passed through -- alters real wake latency/timeout ordering; virtualize per-thread (#924)
BACKLOG,P1,2026-07-27,,rf-ns-inode-identity-aliases,NO-VERIFY,Fix: namespace inode identity still observable via readlinkat/O_PATH/procfd aliases (#877)
BACKLOG,P1,2026-07-27,,rf-netlink-autobind-determinism,NO-VERIFY,Fix: Netlink autobind (implicit sendto/sendmsg) bypasses ID rewriting; port collision vs INET ephemeral range (#880)
BACKLOG,P1,2026-07-27,,rf-thread-self-open-time-binding,NO-VERIFY,"Fix: /proc/thread-self/{stat,status} rewrites reader TID, not opener TID (fd passed across threads) (#964)"
BACKLOG,P1,2026-07-27,,rf-file-mutation-readback,NO-VERIFY,"Fix-forward: file_mutation fixture overclaims write parity -- never reads file content back (#929, merged)"
BACKLOG,P1,2026-07-27,,rf-softirqs-ci-and-determinism,NO-VERIFY,Fix: /proc/softirqs -- hosted CI needs absent /usr/bin/lsirq; digit-width determinism (9->10) & access bypass (#883)
BACKLOG,P1,2026-07-27,,rf-key-users-todo-breadcrumbs,NO-VERIFY,Fix: /proc/key-users -- bind TODO-HUMAN-REVIEW(PR-TBD) breadcrumbs to PR-951 + aliases/bypass/CI (#951)
BACKLOG,P0,2026-07-27,,re_implement_procfs_process,NO-VERIFY,Re-implement procfs process accounting on current main (was #843)
BACKLOG,P2,2026-07-30,,fix_demo56_concurrency_isolation,NO-VERIFY,fix-demo56-concurrency-isolation: per-run QEMU asset paths
BACKLOG,P2,2026-07-30,,fix-pr1163-java-ci-filter,NO-VERIFY,"P2: #1163 CHANGES REQUESTED — Java tests filtered from portable CI, only weekly-super despite every-commit/merge-gate claims"
BACKLOG,P2,2026-07-30,,fix-pr1164-clockid-validation,NO-VERIFY,P2: #1164 CHANGES REQUESTED — NULL path accepts invalid clock IDs; misses GHC dynamic -6 ID; 10us mislabeled 10ms
BACKLOG,P3,2026-07-30,,fix-pr1120-desc-evidence,NO-VERIFY,"P3: #1120 — code accepted, description/evidence fixes required before land"
BACKLOG,P3,2026-07-30,,fix-pr1134-rebase-desc,NO-VERIFY,P3: #1134 — rebase + description required before land
BACKLOG,P1,2026-07-30,,dbi_branch_count_preemption,NO-VERIFY,DBI branch-count preemption (fix 6 corpus HANGs)
BACKLOG,P2,2026-07-30,hermit-dbi,rename-dbi-to-dbt-backend,NO-VERIFY,P2 (GATED on <10 OPEN PRs — owner relaxed this from zero-open-PRs on 2026-08-04): rename the 'dbi' backend -> 'dbt' (DynamoRIO = dynamic binary TRANSL
BACKLOG,P3,2026-07-31,,realistic-deterministic-syscall-timing-model,NO-VERIFY,LONG-TERM: realistic deterministic syscall/context-switch timing — draw per-thread nanosecond costs from empirically-profiled distributions (determini
BACKLOG,P3,2026-07-31,,fix-stale-rr-test-suite-doc,NO-VERIFY,P3: fix stale doc — hermit/docs/rr-test-suite.md:41 claims validate.sh runs the full rr suite (it doesn't)
BACKLOG,P1,2026-07-31,,land-container-runtime-oci-pr1179,NO-VERIFY,"P1: adversarial-review + land PR #1179 (hermit --image OCI-image support) — verify no major system interactions/risks, fix problems, then merge"
BACKLOG,P3,2026-07-31,,container-runtime-ergonomic-image-fetch,NO-VERIFY,P3: make hermit --image more ergonomic to fetch + use docker/podman container images
BACKLOG,P3,2026-07-31,,fix_scheduler_tentative_pop,NO-VERIFY,fix-scheduler-tentative-pop-vs-exec-bootstrap-race
BACKLOG,P1,2026-07-31,,investigate-orc-idle-detection-bug,NO-VERIFY,"P1 (ORC bug): incorrect idle-detection — agents at codex home/placeholder prompts + Agent-Home stuck state reported as busy/managed, masking idleness"
BACKLOG,P2,2026-07-31,,fix-1179-oci-isolation-risks,NO-VERIFY,"P2: fix #1179 OCI --image isolation risks (writable-rootfs poisoning, network-isolation/tmp bypass, backend-chroot gap) before landing"
BACKLOG,P2,2026-07-31,hermit-220,ci-dag-runner-dryrun-estimator,NO-VERIFY,"P2: add --dry-run estimation mode to safe-ci-dag-runner (plan-only, estimate runtime from step resource footprints vs a system-load model; calibrate a"
BACKLOG,P1,2026-07-31,,discuss-vtime-advance-heuristic-soundness,NO-VERIFY,"P1 (RECURRING NAG, unclosable until discussed): owner + coordinator must review the demo5 vtime-jump-unproductive-pollers heuristic — is the timing-ad"
BACKLOG,P2,2026-07-31,,demo6-snapshot-provenance-gating,NO-VERIFY,P2: demo6 is existence-gated on hermit-boot.qcow2 (skips boot if file present) — make it provenance/SHA-aware or make-clean in CI so demo6-green valid
BACKLOG,P1,2026-07-31,,coordinate-demo5-fork-decision,NO-VERIFY,Coordinate demo5 fork prototypes → owner-decision summary: aggregate results of demo5-fix-qemu-icount-idlewarp (226) + demo5-fix-detcore-deadlineless 
BACKLOG,P3,2026-07-31,,extend-ghissue-wrapper-liteinst2,NO-VERIFY,P3: extend .orc/plugins/hermit-dev/gh-issue-create allowlist to include rrnewton/liteinst2 (currently only hermit|reverie)
BACKLOG,P2,2026-07-31,,demo5-qemu-vcpu-condvar-starvation-under-contention,NO-VERIFY,"P2 (latent, non-release): investigate QEMU vCPU cond-var starvation under HIGH host contention — the real load-triggered demo5 wedge (separate from RC"
BACKLOG,P2,2026-08-01,,e9patch-ratchet-round2-nongated,NO-VERIFY,"P2: E9PATCH ratchet round 2 (non-gated batch) — next fd/output-hygiene STDOUT_DIVERGE batch (non-time, non-gated) identified in PR #1216 round"
BACKLOG,P2,2026-08-01,,e9patch-corpus-round-3,NO-VERIFY,P2: E9PATCH non-gated corpus work-ahead — next strict-subset corpus batch beyond 12/12 (non-gated
BACKLOG,P0,2026-08-01,,e2e_proc_random_uuid,NO-VERIFY,e2e proc-random-uuid determinism test
BACKLOG,P1,2026-08-01,hermit-coord,append-only-investigation-history-coordinator,NO-VERIFY,P1: coordinator-managed APPEND-ONLY machine-readable investigation history — serialize increments from parallel demo5 sub-agents into debug/<episode>/
BACKLOG,P1,2026-08-01,,demo5-adversarial-critic-review,NO-VERIFY,P1: adversarial-critic review of the demo5 investigation (part of the science) — skeptic attacks the hypotheses/evidence/conclusions
BACKLOG,P1,2026-08-01,,auto-science-process-meta-evaluation,NO-VERIFY,P1: meta-evaluation of the auto-science process — is the debug/ framework working; what scripts/data-representations to change or expand
BACKLOG,P0,2026-08-01,,e2e_mcookie_random_determinism,NO-VERIFY,e2e mcookie-random determinism test
BACKLOG,P0,2026-08-01,,e2e_perl_hash_order,NO-VERIFY,e2e: perl-hash-order determinism test (hash iteration order)
BACKLOG,P0,2026-08-01,,e2e_perl_hash_order_2,NO-VERIFY,e2e: perl-hash-order determinism test (hash iteration order)
BACKLOG,P0,2026-08-01,,demo5-fix-scheduler-fairness-impl,NO-VERIFY,P0: IMPLEMENT scheduler fairness/aging fix (from scheduler-time-model-fairness-design) → demo5 passes ~1min → PR + adversarial-reviewer detcore testim
BACKLOG,P0,2026-08-01,,demo5-fix-revert-config-flip-0591104,NO-VERIFY,"P0: revert the 0591104 demo5 config flip (re-arm --max-timeslice in demos/05-qemu-boot.py) → restores demo5 GREEN ~1min — cheap, UNGATED, post-facto l"
BACKLOG,P1,2026-08-01,,liteinst-flagship-acceleration,NO-VERIFY,"VISION: accelerate LiteInst to a FLAGSHIP backend — pure-Rust, 1st-party, no 3rd-party deps; native in-place-patching path off ptrace-host, multiproc,"
BACKLOG,P1,2026-08-01,hermit-liteinst,liteinst-instrumentation-stats,NO-VERIFY,"P1: LiteInst library method to print instrumentation stats at end of hermit run — distinct RIPs patched, cacheline straddlers, patch-site instruction-"
BACKLOG,P2,2026-08-01,,liteinst-upstream-scan-patch-site,NO-VERIFY,"P2 (RESEARCH/OPTION): general compiler-agnostic upstream-scan for a patch site — trap on the non-det instruction, scan upstream, relocate N instructio"
BACKLOG,P1,2026-08-01,hermit-243,liteinst-corpus-ratchet-to-b3,NO-VERIFY,"P1: crank up LiteInst compat ratchet toward B3 — expand corpus coverage, close the ~80/200 failing cells, drive parity%/det% up on the scorecard"
BACKLOG,P1,2026-08-02,,liteinst_single_process_ceiling,NO-VERIFY,LiteInst single-process ceiling corpus ratchet
BACKLOG,P3,2026-08-02,,research-single-address-space-hermit,NO-VERIFY,"P3 (FUTURE RESEARCH): single-address-space hermit — feasibility + tradeoffs (RPC becomes in-process; would need to reimplement signals, etc.)"
BACKLOG,P1,2026-08-02,,timeout-headroom-and-load-relative,NO-VERIFY,"P1: analyze test/CI timeout HEADROOM + make timeouts LOAD-RELATIVE — load should SLOW tests, never FLAKE them (only OOMD should kill)"
BACKLOG,P1,2026-08-02,hermit-kvm,kvm_backend_stats_provider,NO-VERIFY,KVM backend stats provider with VM-exit reasons
BACKLOG,P1,2026-08-02,hermit-dbi,dbi_backend_stats_provider,NO-VERIFY,DBI backend stats provider with translation metrics
BACKLOG,P1,2026-08-02,hermit-sabre,sabre_backend_patch_and,NO-VERIFY,SaBRe backend patch and slowpath stats provider
BACKLOG,P0,2026-08-02,,liteinst-compat-blitz,NO-VERIFY,"P0 (OVERNIGHT HEADLINE): drive LiteInst compat UP fastest — parallel test-debug (up to 5 agents), root-cause failing cells, expand parity"
BACKLOG,P2,2026-08-02,,interactive-tty-shell-support,NO-VERIFY,"P2: interactive deterministic shell with TTY support (hermit run -it, podman-style) — fix `hrm run bash` hang + Ctrl-C/Z, PTY support, deterministic r"
BACKLOG,P3,2026-08-02,,snapshot-resume-experiment,NO-VERIFY,"P3 (BACKLOG, RFC/PRE-LAND-only): experiment with hermit snapshot/resume — prototype on a branch, do NOT merge; explore backend-agnostic design, reveri"
BACKLOG,P2,2026-08-02,,demo5-nonptrace-backend-milestone,NO-VERIFY,"P2 (MILESTONE TARGET): get a NON-ptrace backend to pass demo5 (linux boot), bonus if FASTER than ptrace's ~46s"
BACKLOG,P0,2026-08-02,hermit-kvm,recover_dirty_kvm_l3,NO-VERIFY,Recover dirty KVM L3 stack-content worktree
BACKLOG,P2,2026-08-02,hermit-sabre,sabre_non_gated_parity,NO-VERIFY,SaBRe non-gated parity frontier
BACKLOG,P0,2026-08-02,,ci_main_red_groundtruth,NO-VERIFY,ci-main-red-groundtruth-and-dag-refactor
BACKLOG,P2,2026-08-02,,optimize-relaxed-getpid-overhead,NO-VERIFY,P2: investigate + optimize Hermit-relaxed per-syscall overhead (getpid microbenchmark surprisingly slow)
BACKLOG,P2,2026-08-02,,explain-dbi-sequentialized-threads-requirement,NO-VERIFY,P2: document WHY DBI requires sequentialized threads (can't do true concurrency) — explains the missing relaxed/DBI benchmark cell
BACKLOG,P2,2026-08-02,,benchmark-methodology-cgroup-and-seq-vs-instr,NO-VERIFY,"P2 (post-sprint): bake benchmarking methodology into the benchmark skill — cgroup + K-core/CPU/wall/mem limits (no pinning), sequentialization-vs-inst"
BACKLOG,P2,2026-08-02,,safe-ci-dag-runner-resource-limits,NO-VERIFY,"P2: safe-ci-dag-runner — add per-box resource limits (K-core constraint w/o pinning, CPU-time, wall-time, max-mem) for benchmarks + tests"
BACKLOG,P1,2026-08-02,,make-lint-target,NO-VERIFY,"P1: add a `make lint` target running the full lint suite (clippy -D warnings, rustfmt --check, shellcheck, git diff --check) matching CI's merge-gate"
BACKLOG,P1,2026-08-02,,reverie-pin-consistency-invariant-lint,NO-VERIFY,P1: lint enforcing the main-only-monorepo invariant — hermit Cargo.toml reverie-rev == dev-hermit reverie submodule pin == reverie origin/main; hermit
BACKLOG,P1,2026-08-02,,test-power-to-weight-and-selective-selection,NO-VERIFY,P2 (post-CI-reshape): finish test power-to-weight analysis (coverage-value vs runtime cost) + add selective/affected-test-selection for limited-footpr
BACKLOG,P2,2026-08-02,,dbi-liteinst-rpc-serialization-overhead,NO-VERIFY,P2: DBI/LiteInst DO serialize global-state RPC when out-of-process — measure the overhead (unlike KVM/ptrace single-address-space)
BACKLOG,P1,2026-08-02,,matrix-tsv-schema-consolidation,NO-VERIFY,P1: consolidate the tests/backend-parity/matrix.tsv 611-col schema-migration conflict cluster (~100 red PRs share this one root cause)
BACKLOG,P2,2026-08-02,,ux-tester-skill,NO-VERIFY,"P2: create a hermit-level 'ux-tester' skill — agents emulate a user UX tester, evaluating output quality not just exit codes"
BACKLOG,P0,2026-08-02,hermit-coord,refresh_hermit_and_parent,NO-VERIFY,Refresh Hermit and parent pins to current Reverie main
BACKLOG,P1,2026-08-02,,prevent_make_from_leaving,NO-VERIFY,Prevent make from leaving a stale release Hermit binary
BACKLOG,P2,2026-08-02,,standalone_scripts_mishandle_help,NO-VERIFY,Standalone scripts mishandle --help (log_timeslice/manifest-to-commands/update_spreadsheet)
BACKLOG,P1,2026-08-02,,validate-cputime-limit-and-antibloat-skill,NO-VERIFY,P1 (gated on CI-healthy): strict CPU-time limit on the outer validate DAG cgroup + failure message → anti-bloat skill enumerating checks before raisin
BACKLOG,P1,2026-08-03,hermit-dbi,fanout-land-noncluster-prs,NO-VERIFY,PR-landing fan-out: land free-to-land green PRs + the non-matrix-cluster reds (parallel with lander's matrix.tsv consolidation)
BACKLOG,P0,2026-08-03,hermit-247,fanout-land-green-free-to-land,NO-VERIFY,P0: land the ~51 GREEN free-to-land PRs NOW (low-hanging fruit — 0 landed in 40min while agents churned the red cluster)
BACKLOG,P1,2026-08-03,,validate-run-ledger,NO-VERIFY,"P1: stand up a validate-run LEDGER — record each run's slot, commit/git-depth, pass/fail, wall+CPU time (so 'is main green' is answerable with data)"
BACKLOG,P0,2026-08-03,,mass-parallel-rebase-stale-base,NO-VERIFY,"P0: mass-parallel rebase of stale-base red PRs — split into small batches, shard across the fleet, rebase on fresh main → flip green → land"
BACKLOG,P1,2026-08-03,,mass_parallel_rebase_stale,NO-VERIFY,mass-parallel-rebase-stale-base
BACKLOG,P0,2026-08-03,,make-validate-quick-and-reliable,NO-VERIFY,P0: make `make validate` work QUICKLY + RELIABLY on a fresh checkout (owner's tire-kicking bar)
BACKLOG,P2,2026-08-03,hermit-231b,bump-hermit-cargo-reverie-pin-d2fb9a05,NO-VERIFY,"Bump hermit Cargo.toml reverie pin d973a85→d2fb9a05 (separate PR, non-blocking follow-up)"
BACKLOG,P1,2026-08-03,hermit-ci,demo-gate-runner-relabel-owner,NO-VERIFY,OWNER-GATED: relabel/add a runner to raise demo-gate throughput (the lever for the ~174 hot-path bulk — serialized demo queue)
BACKLOG,P3,2026-08-03,hermit-247,rust_script_warm_cache,NO-VERIFY,rust-script warm cache masks scripts/lib/rust_script_prelude.rs changes (stale binary served)
BACKLOG,P0,2026-08-03,,enable-github-merge-queue-on-main,NO-VERIFY,OWNER-GATED (TOP morning ask): enable the GitHub MERGE QUEUE on main (add merge_queue rule to ruleset 20244443) — lands the 12 queued PRs + permanentl
BACKLOG,P0,2026-08-03,,main-force-push-reset-incident-postmortem,NO-VERIFY,P0 INCIDENT: origin/main force-pushed backward (~2026-08-03 10Z) orphaning ~12 merged PRs — postmortem + prevent recurrence
BACKLOG,P1,2026-08-03,,e9patch-corpus-salvage-not-wholesale-graft,NO-VERIFY,P1: salvage the SUBSTANTIVE e9patch corpus tests (roundtrips/state/errno/identity-virt/IPC) + collapse the repetitive grids into table-driven family g
BACKLOG,P1,2026-08-03,,validate-bpfjailer-transient-sandbox-block,NO-VERIFY,P1: validate runs die on a transient BPFJailer sandbox block — root-cause + harden so validate completes reliably every time
BACKLOG,P1,2026-08-03,,triage-plan-127-asymmetric-prs,NO-VERIFY,"P1: triage plan for the 127 matrix-symmetry-violating open PRs (25 e9patch-only + 102 legacy single-backend) — rework-to-shared vs close, per class"
BACKLOG,P1,2026-08-03,,validate-dynamorio-host-permission-block,NO-VERIFY,"P1: validate's DynamoRIO gate fails from HOST PERMISSION block (environmental, not a code failure) — same class as the BPFJailer transient"
BACKLOG,P1,2026-08-03,,mechanized-matrix-to-case-catalog-retarget-script,NO-VERIFY,P1: build the mechanized matrix.tsv→case-catalog re-target script (makes the 83-PR coverage migration ~3-5 days instead of weeks)
BACKLOG,P2,2026-08-03,,lint-portability-bpftool-hardcoded-path,NO-VERIFY,P2: `make lint` portability check fails — hardcoded /usr/local/bin/bpftool in hermit/.github/workflows/demo-hot-path.yml:198
BACKLOG,P1,2026-08-03,,dryrun-preview-batch4-identity-ipc-migration,NO-VERIFY,"P1: dry-run the re-target script on batch-4 (identity+IPC, 14 PRs) — concrete preview proving the mechanized migration works at batch scale"
BACKLOG,P0,2026-08-03,hermit-247,hermit-02-release-readiness-assessment,NO-VERIFY,"P0: hermit 0.2 release readiness — assess + drive the actual release path (version/--version, crates.io publish dry-run, repo-split, fbsource import p"
BACKLOG,P0,2026-08-03,hermit-226,measure-red-pr-flip-rate-on-new-main,NO-VERIFY,P0: measure how many of the 172 CI-failing PRs flip GREEN when rebased onto the new main (which now has #1521 env hardening + #1520/#1522)
BACKLOG,P1,2026-08-03,hermit-247,preserve-validation-evidence-on-label-strip,NO-VERIFY,"P1: never lose validation evidence — every path that strips `locally-validated` must leave a comment trail recording what was validated, at which SHA,"
BACKLOG,P2,2026-08-03,hermit-ptw,e9patch_ptw_promote_agreed_subset,NO-VERIFY,Promote AGREED e9patch power-to-weight subset (KEEPs 2-5 only) via shared TOML
BACKLOG,P2,2026-08-03,,ci-hub-worktree-registration,NO-VERIFY,P2: validate.sh discovers ci-hub by walking up (max ~3 dirs) and registers the worktree + reports results in a standard format
BACKLOG,P1,2026-08-03,,ci-hub-green-time-metric,NO-VERIFY,P1: measure GREEN-TIME PERCENTAGE as ci-hub's first-class health metric — what fraction of wall-clock has main been a healthy green development base?
BACKLOG,P0,2026-08-03,hermit-231b,enable-cgroups-and-cpu-timeouts-across-dag-nodes,NO-VERIFY,P1: cpu_timeout declarations across the 54 DAG nodes — NOTE: the '--cgroups is never passed' premise was FALSE (it's a deprecated no-op; Python boxes 
BACKLOG,P1,2026-08-03,hermit-220,runner-cpu-affinity-single-core-runs,NO-VERIFY,P1: safe-ci-dag-runner must support constraining a whole process tree to ONE core (cpuset) for sequential-execution measurement — including native and
BACKLOG,P2,2026-08-03,hermit-250,detcore-wait4-nondelivery-sigkilled-child,NO-VERIFY,"P2 'Face B': detcore wait4 non-delivery for a SIGKILLed child — separate from the reap deadlock, found during the #355 investigation"
BACKLOG,P0,2026-08-03,hermit-ptw,agent-utils-direct-to-main-policy,NO-VERIFY,"P0: agent-utils commits go DIRECTLY TO MAIN by default — tests before landing, keep main green, single-threaded; land the stranded #5 now"
BACKLOG,P2,2026-08-03,,detcore-misc-residual-passive-block-1-in-2760,NO-VERIFY,BACKLOG: residual detcore_misc passive-block flake at ~1/2760 — the notifier-layer drive-to-exit fix (post-#355)
BACKLOG,P0,2026-08-03,hermit-ptw,agent-utils-own-ci-configured-and-green,NO-VERIFY,"P0: agent-utils must have its OWN CI configured and GREEN — it's the enforcement mechanism behind 'keep main green', and five workstreams are about to"
BACKLOG,P0,2026-08-03,hermit-ghdag,rust-runner-parity-catchup-and-real-crosscheck,NO-VERIFY,"P0: ONE agent catches the RUST DAG runner up to Python FOR REAL, and strengthens the cross-check so a capability discrepancy is a TEST FAILURE"
BACKLOG,P2,2026-08-03,hermit-247,factor-thirdparty-backends-into-separate-packages,NO-VERIFY,P2 (GATED on <10 OPEN PRs — owner 2026-08-04): factor 3rd-party backends into separate packages
BACKLOG,P1,2026-08-03,,fix_1213_timerfd_codex,NO-VERIFY,fix #1213 Codex findings: coherent timerfd ownership across Linux APIs
BACKLOG,P1,2026-08-03,hermit-ci,fix_runner_health_operational,NO-VERIFY,Fix runner-health operational-bounds exit contract
BACKLOG,P1,2026-08-03,hermit-220,dag-runner-core-allocator-with-irq-awareness,NO-VERIFY,"P1: safe-ci-dag-runner needs a STATEFUL CORE ALLOCATOR — hand out K distinct cores per box, avoiding cores already allocated OR carrying kernel-thread"
BACKLOG,P1,2026-08-03,hermit-ptw,audit-standing-directives-actually-in-effect,NO-VERIFY,"P1: AUDIT the owner's standing architectural directives — verify each is ACTUALLY IN EFFECT, not merely stated. Two were found unimplemented today."
BACKLOG,P0,2026-08-03,hermit-243,priority-based-ci-planner-owns-the-batch,NO-VERIFY,"P0 (OWNER): PRIORITY-BASED CI — the planner names the NEXT BATCH, that batch gets greened and landed as fast as possible, and random feature-branch CI"
BACKLOG,P1,2026-08-03,hermit-247,make_plugin_detcore_build,NO-VERIFY,Make plugin Detcore build ID cover resolved dependencies
BACKLOG,P1,2026-08-03,hermit-247,make_stale_hermit_dir,NO-VERIFY,Make stale HERMIT_DIR plugin repair command effective
BACKLOG,P1,2026-08-04,hermit-ghdag,ci-jobs-download-both-debug-and-release-artifacts,NO-VERIFY,"P1: CI jobs download BOTH debug AND release artifacts in the same job — wasted transfer per job, multiplied across a 6-stage chain"
BACKLOG,P0,2026-08-04,hermit-codex-rev,triage-and-review-62-abandoned-draft-prs,NO-VERIFY,"P0 (OWNER): 62 DRAFT PRs are ABANDONED, not parked — batch triage + adversarial review, then publish or close. Nothing here is someone else's problem."
BACKLOG,P1,2026-08-04,hermit-kvm,reverie_341_model_linux,NO-VERIFY,Reverie #341: model Linux ptrace request-specific errno semantics
BACKLOG,P1,2026-08-04,hermit-kvm,reverie_343_make_kvm,NO-VERIFY,Reverie #343: make KVM robust-list registry follow task lifecycle
BACKLOG,P1,2026-08-04,hermit-kvm,translate_scm_rights_descriptors,NO-VERIFY,Translate SCM_RIGHTS descriptors in Reverie KVM sendmsg/recvmsg
BACKLOG,P0,2026-08-04,hermit-220,per-step-parallel-speedup-study-and-j-model,NO-VERIFY,"P0 (OWNER): PER-STEP PARALLEL SPEEDUP STUDY — sweep -j per DAG step to the wall-time dip, set that as the step's max -j, and record MEMORY at each poi"
BACKLOG,P1,2026-08-04,hermit-250,implement-overshoot-marker-and-skid-gated-retry,NO-VERIFY,"P1: IMPLEMENT the skid-gated retry — standardize ONE overshoot marker, retry ONLY on it, count every retry; and establish WHY the EPYC skid margin is "
BACKLOG,P1,2026-08-04,hermit-codex-rev,proxy-matching-defect-class-review-rule,NO-VERIFY,P1: ELEVEN instances of one defect — a mechanism keying on a PROXY for a condition rather than the condition itself. Make it a review rule and a lint 
BACKLOG,P1,2026-08-04,,three-core-prs-blocked-on-design-decisions-not-fixes,NO-VERIFY,"P1 (OWNER DISCUSSION): #1200, #1213, #1443 are blocked on DESIGN DECISIONS, not fixes — no agent can unblock them without an architecture call"
BACKLOG,P0,2026-08-04,hermit-247,fold_edit_distance_into,NO-VERIFY,Fold edit-distance into detcore before 0.2 publication
