fixture,landed,running,can_fail,all_three,cell_id,ci_modes,emits_only_ok_n,mutation_hook,off_main_branches
mremap_resize.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-mremap
msync_writeback.c,yes,no,unproven,no,backend-parity-c/msync-writeback,none,yes,no,
name_to_handle.c,yes,no,unproven,no,backend-parity-c/name-to-handle-refusal,none,yes,no,
no_new_privs_refusal.c,yes,no,unproven,no,backend-parity-c/no-new-privs-refusal,none,yes,no,
openat2_refusal.c,yes,no,unproven,no,backend-parity-c/openat2-refusal,none,yes,no,
openat_flags.c,yes,no,unproven,no,backend-parity-c/openat-flags,none,yes,no,
o_tmpfile_anon.c,yes,no,yes,no,backend-parity-c/o-tmpfile-anon,none,yes,yes,
path_file_ops.c,yes,no,unproven,no,backend-parity-c/path-file-ops,none,yes,no,
personality_domain.c,yes,yes,yes,yes,backend-parity-c/personality-domain,verify,yes,yes,
pidfd_open_self.c,yes,no,unproven,no,backend-parity-c/pidfd-open-self,none,yes,no,
pid_probe.c,yes,no,unproven,no,backend-parity-c/pid-probe,none,no,no,
pipe2_flags.c,yes,no,unproven,no,backend-parity-c/pipe2-flags,none,yes,no,
pipe_capacity.c,yes,no,yes,no,backend-parity-c/pipe-capacity,none,yes,yes,
pipe_ipc.c,yes,no,unproven,no,backend-parity-c/pipe-ipc,none,no,no,
pipe_multiwriter_ordering.c,no,no,unproven,no,NONE,none,no,no,fix/pipe-multiwriter-ordering-fixture
poll_readiness.c,yes,no,unproven,no,backend-parity-c/poll-readiness,none,yes,no,
prctl_identity.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-prctl
prctl_pdeathsig.c,yes,no,unproven,no,backend-parity-c/prctl-pdeathsig,none,yes,no,
preadv2_flags.c,yes,no,unproven,no,backend-parity-c/preadv2-flags,none,yes,no,
prlimit_roundtrip.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-prlimit
pthread_lifecycle.c,yes,no,unproven,no,backend-parity-c/pthread-lifecycle,none,no,no,
readdir_entries.c,yes,no,unproven,no,backend-parity-c/readdir-entries,none,no,no,
readdir_order_identity.c,no,no,unproven,no,NONE,none,no,no,fix/readdir-order-identity-fixture;readdir-order-identity-timeout-evidence
record_lock.c,yes,no,yes,no,backend-parity-c/record-lock,none,yes,yes,
renameat2_flags.c,yes,no,unproven,no,backend-parity-c/renameat2-flags,none,yes,no,
rename_ops.c,yes,no,unproven,no,backend-parity-c/rename-ops,none,yes,no,
rlimit_identity.c,no,no,unproven,no,NONE,none,no,no,feat/parity-mutation-harness;landing/coalesce-clean7-onto-4c70658e7;landing/coalesced-ci-validate-tooling;stack/ci-validate-tooling
robust_list.c,yes,no,unproven,no,backend-parity-c/robust-list,none,yes,no,
sched_attr_identity.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-sched-attr
sched_getaffinity_identity.c,no,no,unproven,no,NONE,none,no,no,feat/parity-mutation-harness;landing/coalesce-clean7-onto-4c70658e7;landing/coalesced-ci-validate-tooling;stack/ci-validate-tooling
sched_identity.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-sched-identity
seccomp_refusal.c,yes,no,unproven,no,backend-parity-c/seccomp-refusal,none,yes,no,
sendfile_copy.c,yes,no,unproven,no,backend-parity-c/sendfile-copy,none,no,no,
set_tid_address.c,yes,no,unproven,no,backend-parity-c/set-tid-address,none,yes,no,
short_io_split_identity.c,no,no,unproven,no,NONE,none,no,no,wip/short-io-split-identity
shutdown_socketpair.c,yes,no,unproven,no,backend-parity-c/shutdown-socketpair,none,yes,no,
sigaction_state.c,yes,no,unproven,no,NONE,none,yes,no,
sigaltstack_state.c,yes,no,unproven,no,NONE,none,yes,no,
signalfd_create.c,yes,no,unproven,no,backend-parity-c/signalfd-create,none,yes,no,
sigprocmask_state.c,yes,no,unproven,no,NONE,none,yes,no,
socket_epoll_ordering.c,no,no,unproven,no,NONE,none,no,no,fixture/socket-epoll-ordering
socket_options.c,yes,no,unproven,no,backend-parity-c/socket-options,none,yes,no,
socketpair_flags.c,yes,no,unproven,no,backend-parity-c/socketpair-flags,none,yes,no,
sockname_unnamed.c,yes,no,unproven,no,backend-parity-c/sockname-unnamed,none,yes,no,
statfs_free_determinism.c,yes,no,unproven,no,backend-parity-c/statfs-free-determinism,none,yes,no,
stat_metadata_identity.c,no,no,unproven,no,NONE,none,no,no,fixture/stat-metadata-identity
statx_metadata.c,yes,no,unproven,no,backend-parity-c/statx-metadata,none,yes,no,
symlink_ops.c,yes,no,unproven,no,backend-parity-c/symlink-ops,none,yes,no,
sync_file_range.c,yes,no,unproven,no,backend-parity-c/sync-file-range,none,yes,no,
sysv_ipc_refusal.c,yes,no,unproven,no,backend-parity-c/sysv-ipc-refusal,none,yes,no,
thp_disable.c,yes,no,unproven,no,backend-parity-c/thp-disable,none,yes,no,
timer_family_identity.c,no,no,unproven,no,NONE,none,no,no,fixture/timer-family-identity
umask_mode.c,yes,no,unproven,no,backend-parity-c/umask-mode,none,yes,no,
uname_identity.c,yes,no,unproven,no,backend-parity-c/uname-identity,none,yes,no,
utimensat_determinism.c,yes,no,unproven,no,backend-parity-c/utimensat-determinism,none,yes,no,
vectored_file_io.c,yes,no,unproven,no,backend-parity-c/vectored-file-io,none,yes,no,
vectored_io.c,yes,no,unproven,no,backend-parity-c/vectored-io,none,no,no,
