POP=229 LANDED=114 NOT-LANDED=19 UNKNOWN=96

### LANDED -- CLOSABLE (task | repo | sha)
cmake-content-hash-elf-magic-not-size
concurrency-determinism-sweep
corpus-harden-flaky-cells
cross-backend-info-log-parity
dbi-close-remaining-cells
define-the-heap-as-guest-allocated-pages-only-code-and-static-excluded
design-the-dag-runner-parallelism-surface-three-axes-not-one-j
determinism-dimension-coverage-matrix
detlog-parity-regression-gate
detlog_heap_stack_hash
e9patch-close-remaining-cells
e9patch-detlog-heap-stack-parity
e9patch-inguest-detlog
e9patch_rewrite_injects_9
erestartsys-retry-is-a-detcore-correctness-property-not-a-backend-one
expand-corpus-real-apps
extend-safe-ci-dag-runner-add-the-missing-features
file-io-offset-determinism
fix-concurrency-nondeterminism-found
fix-inert-determinism-parity-guards
fix-inert-process-infra-guards
fix_reverie_330_fork
flag-combination-matrix-coverage
full-rebaseline-hardened-standard
gap-to-100-prioritized-map
guest-coordinator-same-core-affinity
headline-inner-step-scaling-curves-cargo-and-strict-compat
herdr-run-log-rotation-4-days
herdr-run-tee-not-just-redirect
hermit-wrapper-singleton-dag-mode-for-all-adhoc-runs
hourly_alignment_reminder_relay
index-of-measurements-taken
kvm-corpus-broaden-toward-100
kvm-detlog-heap-stack-parity
kvm_l3_detlog_stack
l3_stack_content_divergence
landing-preflight-three-checks-before-trusting-any-green
liteinst-close-remaining-cells
liteinst-corpus-broaden-toward-100
liteinst-detlog-heap-stack-parity
livelock-reads-as-slow-test-on-every-wall-clock-instrument
memory-cap-anchor-plus-scaling-model-explore-both-sides
microbench-ceilings-must-be-confirmed-on-the-real-path-before-driving-work
mutation-testing-for-guards-a-measurable-score-not-ad-hoc-plants
no-hardcoded-wall-timeouts-idiom
panic-on-unsupported-syscalls-default
parity-against-ptrace-cannot-detect-a-shared-bug-needs-a-correctness-oracle
parity-checker-mutation-test
partial-views-are-footguns-full-scorecard-must-be-the-default
patching-backend-inguest-convergence
patching-shared-inguest-handler-impl
periodic-residue-sweep-correct-refusals-leave-unowned-work
pids_axis_real_cgroup
prepare-stacks-for-landing
producer-posts-to-its-own-task-consumer-reads-a-different-one
prose_audit_reader_pov
ratchet-dbi-strict-parity
ratchet-kvm-strict-parity
ratchet-liteinst-strict-parity
re-measure-after-355-pin-bump-contaminated-figures-list
remove-200gb-disk-cap-monitor-disk-fill-instead
research-oci-integration-next-phases
revalidate-detlog-parity-normalized
reverie_338_aggregate_kvm
scorecard-double-run-determinism
sig-alarm-e9patch-exceeds-wall
signal-delivery-determinism
signal-determinism-residue
single-lane-agents-own-one-linear-fat-pr-and-shepherd-it-to-landing
soft-green-vs-hard-green-is-not-tracked-anywhere-in-ci-hub
soft-inherited-validation-across-clean-rebase
stack2-1-rusage-from-virtual-time
stack2-3-ptrace-sigtrap-mistranslation
stack2-4-mmap-layout-policy-unified
stack4-ci-tooling-mixed
step_worker_thread_exception
strictness-tightening-program-the-p0-after-the-drain
surface_superseded_fail_count
systemd-run-user-is-the-validate-producer-path
unblock-liteinst-strict-parity-ratchet
unify_backend_stats_transport
validate-must-work-standalone-hermit-checkout
validate-wall-budget-600s-the-median-passes-the-tail-does-not
verify-dynamorio-build-unblocks-detlog-dbi
verify-oom-group-real-boxed-run
verify-ptracer-out-of-path
wip-invariant-open-prs-bounded-by-active-agent-count
