# Disposition of closed rrnewton/hermit PRs that the coalesce guard could not
# classify from their close comment alone (the 45 REFUSE_UNKNOWN rows measured
# 2026-08-07). Hand-classified by reading the FULL comment thread, not the last
# comment -- last-comment-only is what produced the UNKNOWNs, because a later
# reply often sits on top of the closing rationale (see #1703).
#
# SUPERSEDED  the work survives at a named, identifiable place -> safe to fold.
# MERITS      an owner decided it must not land -> NEVER re-land.
# UNKNOWN     not determinable from the record -> stays refused, fail closed.
#
# UNKNOWN is a real answer here, not a gap to be filled by inference: a wrong
# SUPERSEDED is precisely what re-lands rejected work.
#
# pr	disposition	successor	reason
1539	MERITS		explicitly disposable affected-test-selection probe; description says it is not for landing
1538	MERITS		explicitly disposable affected-test-selection probe; not for landing
1537	MERITS		explicitly disposable affected-test-selection probe; not for landing
1536	MERITS		explicitly disposable affected-test-selection probe; not for landing
1534	UNKNOWN		'fully subsumed by #1547', but #1547 was itself closed as obsolete and its named canonical successors #1611/#1620 are also closed; whether cpu_timeout=18 for e2e/metadata reached main is not determinable from the record
1513	MERITS		superseded premise (main removed pmu-serial for demos); owner-signoff condition never satisfied; 'should not remain a landing candidate'
1507	SUPERSEDED	branch codex/e9patch-corpus-relocation-stress @ 37f221e1	closed only to honour an inflow throttle; 'No work is lost', preserved on a named pushed branch, validated 22/22 PASS_L2, explicit intent to reopen
1491	MERITS		TIME-BLUNTING: weakens the KVM timed-progress check 40-fold (1000ms -> 25ms) with no minimum-work or progress oracle; excluded from #1644
1486	UNKNOWN		says 'superseded by the owner-authorized recovery commit on the primary main stack' but names NO SHA, PR or branch; the successor is described, not identified
1483	SUPERSEDED	#1488 4402be0d	consolidated PR points at this exact final recovery head; duplicate prefix PR closed to prevent competing CI/merge
1469	MERITS		TIME-BLUNTING: clamps observed PMU overshoot to a coarser armed budget, making time accounting less fine-grained; explicitly the forbidden sacred-time blunting pattern
1466	MERITS		abandoned stacked carrier on unresolved #1443; pins a Reverie rev that is NOT an ancestor of the current pin, so it cannot safely advance the dependency
1461	SUPERSEDED	tests/c/signal_disposition.c already on main	closed as redundant: the fixture is already present on main, so the PR adds no unique coverage
1446	SUPERSEDED	tg coalesce-24-e9patch-corpus-prs-with-symmetry-enforcement	closed as part of e9patch-corpus coalescing with an explicit 'No coverage is abandoned' disposition. Successor is a TASK, not a landed commit -- weaker evidence than a SHA; re-verify before folding
1445	MERITS		aged implementation closed as UNSAFE rather than rebased: fixed TCGETS/TIOCGWINSZ getters ignore successful guest set calls, so set-then-get returns a false terminal state, with no regression test
1444	MERITS		~100 files of unrelated concerns; 'not a reviewable or independently recoverable landing unit'; must be split into current-main PRs
1443	MERITS		aged PR closed as currently UNVERIFIABLE; no product subset safe to land; /bin/echo fails --verify-strict with bitwise_parity=false and >20 exact-log differences
