id	kvm_exit	bucket	signature
c-programs/so-incoming-cpu-tcp6	1	B_KVM_SYSCALL_GAP_reverie_blocked	bind: Address family not supported by protocol  < tcp6-incom
c-programs/so-incoming-cpu-udp4	1	B_KVM_SYSCALL_GAP_reverie_blocked	getsockopt SO_INCOMING_CPU: Protocol not available  < udp4-i
c-programs/syscall-quick-wins	1	B_KVM_SYSCALL_GAP_reverie_blocked	sendfile: Function not implemented  < syscall-quick-wins-ok
c-programs/tcp-info-accept4	1	B_KVM_SYSCALL_GAP_reverie_blocked	connect: Address family not supported by protocol  < accept4
c-programs/tcp-info-accept6	1	B_KVM_SYSCALL_GAP_reverie_blocked	bind: Address family not supported by protocol  < accept6 st
c-programs/tcp-info-client4	1	B_KVM_SYSCALL_GAP_reverie_blocked	connect: Address family not supported by protocol  < client4
c-programs/unix-autobind-seqpacket	1	B_KVM_SYSCALL_GAP_reverie_blocked	socket: Protocol not supported  < seqpacket=08000
c-programs/writev-determinism	1	B_KVM_SYSCALL_GAP_reverie_blocked	atomic pipe F_GETPIPE_SZ: Function not implemented  < writev
bin-c/posix-timer-test	1	C_SIGNAL_TIMER_ownergated	FAIL: SIGALRM was not delivered within 100 ms of virtual tim
c-programs/dbi-self-sigqueue	2	C_SIGNAL_TIMER_ownergated	rt_tgsigqueueinfo failed: result=-1 errno=38 delivered=0  <
c-programs/hello-alarm	1	C_SIGNAL_TIMER_ownergated	 < ++ Received signal: 14 = Alarm clock < == Success: Delive
c-programs/hello-signals	1	C_SIGNAL_TIMER_ownergated	 < ++ Received signal: 4 = Illegal instruction < == Success:
c-programs/periodic-setitimer-delivery	5	C_SIGNAL_TIMER_ownergated	expected 3 periodic alarms, got 0  < PASS: 3 periodic ITIMER
c-programs/setitimer-determinism	0	C_SIGNAL_TIMER_ownergated	 < SIGALRM deliveries: 20 > SIGALRM deliveries: 0
c-programs/sigpipe-siginfo	1	C_SIGNAL_TIMER_ownergated	write SIGPIPE info was code=-1 errno=-1 pid=-1 uid=-1  < sig
c-programs/sigtimedwait-timeout-0s	0	C_SIGNAL_TIMER_ownergated	<empty>
system-utils/clock-determinism	0	D_GUESTCLOCK_ownergated(#1212)	 < CLOCK_REALTIME gettime=1767225600.002533175 nanosleep_rc=
c-programs/print-memaddrs	0	E_INTRINSIC_layout	 < Stack address: 0x7fffffffb10c < Malloc'd pointers: 0x4062
c-programs/madvise-determinism	17	F_DETCORE_PROCFS_needs_backend_align	 < madvise-ok
c-programs/proc-fdinfo	1	F_DETCORE_PROCFS_needs_backend_align	 < pos:	1 < flags:	0000102
c-programs/proc-fd-link-aliases	1	F_DETCORE_PROCFS_needs_backend_align	lexical: Permission denied  < canonical=/home/newton/work/de
c-programs/pty-nr-count	1	F_DETCORE_PROCFS_needs_backend_align	 < pty-count-tracks-open-files-ok
c-programs/sysinfo	0	F_DETCORE_PROCFS_needs_backend_align	 < free RAM: 997,394,944 > free RAM: 0
c-programs/sysinfo-uptime	0	F_DETCORE_PROCFS_needs_backend_align	 < thread2-> freeram: 913332736  > thread2-> freeram: 0
c-programs/thread-self-procfs-handoff	1	F_DETCORE_PROCFS_needs_backend_align	 < thread-self opener identity preserved
c-programs/fp-reduction-nondeterminism	124	G_HANG_sched_ownergated	<empty>
determinism-stress-c/mmap-fork-shared	124	G_HANG_sched_ownergated	  blocked: BlockedPool { futex_waiters: {Shared { object: An
determinism-stress-c/signal-order	124	G_HANG_sched_ownergated	 < signal-order=USR1,USR2
determinism-stress-c/thread-stress	124	G_HANG_sched_ownergated	read(signal cascade): Resource temporarily unavailable  < th
bin-c/robust-futex-test	124	H_PTRACE_SIDE_FAIL(excluded)	  blocked: BlockedPool { futex_waiters: {Private { mm: MmId
c-programs/epoll-determinism	2	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
c-programs/ipc-determinism	2	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
c-programs/liteinst-advanced	2	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
c-programs/mmap-determinism	2	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
c-programs/nanosleep-threads-simple	0	H_PTRACE_SIDE_FAIL(excluded)	<empty>
c-programs/record-replay-lseek-seek-cur	2	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
c-programs/resource-determinism	1	H_PTRACE_SIDE_FAIL(excluded)	times elapsed clock did not advance across logical work  < s
c-programs/signal-determinism	2	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
c-programs/socket-ioctl-timestamp	1	H_PTRACE_SIDE_FAIL(excluded)	usage: socket_ioctl_timestamp v4-us|v4-ns|v6-us
c-programs/thread-sync-determinism	2	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
determinism-stress-c/thread-contention	1	H_PTRACE_SIDE_FAIL(excluded)	usage: /home/newton/work/dev-hermit/worktrees/kvm/hermit/ign
shared-futex-c/qemu-exec-init	1	H_PTRACE_SIDE_FAIL(excluded)	thread caused non-unwinding panic. aborting. Error: Sandbox
shared-futex-c/qemu-hello	7	H_PTRACE_SIDE_FAIL(excluded)	 < QEMU_USERSPACE_HELLO_OK pid=3 > QEMU_USERSPACE_HELLO_OK p
shared-futex-c/qemu-init	1	H_PTRACE_SIDE_FAIL(excluded)	thread caused non-unwinding panic. aborting. Error: Sandbox
shared-futex-c/qemu-net-init	1	H_PTRACE_SIDE_FAIL(excluded)	Error: KVM guest execution failed: guest exception vector 13
util-c/pmu-skid	1	H_PTRACE_SIDE_FAIL(excluded)	Child failed to enter its initial ptrace stop PTRACE_KILL: O
