task,task_status,classification,reason,related_open_prs,related_closed_prs,related_merged_prs,owner,title
check-reverie-pin-misses-tracked-lockfiles,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1581,https://github.com/rrnewton/hermit/pull/1581,,,hermit-251,"P0: check-reverie-pin.rs reports GREEN while a TRACKED Cargo.lock is stale — it walks Cargo.toml only, so the canonical pin checker has an incomplete scope"
ci-cancellation-masking-let-red-land,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1525,,https://github.com/rrnewton/hermit/pull/1528,https://github.com/rrnewton/hermit/pull/1525,hermit-247,P0: CI cancellation-masking let a RED land on main — cancelled runs must never count as satisfied checks
ci-hub-first-bad-query-from-local-history,IN_PROGRESS,LANDED,main-sha=dev-hermit:eb1f094aa7a5,,,,hermit-251,"P1: `ci-hub first-bad <cell>` — find the first failing commit by QUERYING the local-validate history, not by re-running a bisect"
ci-hub-newest-green-main,IN_PROGRESS,LANDED,"main-sha=dev-hermit:eb1f094aa7a5,dev-hermit:ed0c4cc6ec33",,,,hermit-251,P0 (OWNER): `ci-hub newest-green-main` — surface the most-recent-GREEN main commit so PR agents rebase against it while main tip is red
ci-hub-smart-selection-in-validate,IN_PROGRESS,LANDED,tracked-artifact=ai_docs/validate-smart-selection-reduction-measured_20260803.md,,"https://github.com/rrnewton/hermit/pull/1554,https://github.com/rrnewton/hermit/pull/1573",,hermit-251,P1: validate.sh — smart test selection by DEFAULT + explicit force-all; shallow and green-base modes
ci-validate-timing-history-query,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1210@66480061ea4f71323ea0f9b6d924edbbc063f693:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1210,,,P1: query current validate timing (portable-only vs full/non-portable) from safe-ci-dag-runner profiling history (step + whole-graph level); improve agent-utils tooling if it can't answer
closure-requires-a-recorded-verifiable-reference,IN_PROGRESS,LANDED,"main-sha=dev-hermit:7a3d7917b297,hermit:525627bedfba; tracked-artifact=experiments/oom-group-blast-radius_20260804/",,,,hermit-238b,"P1: NO TASK CLOSES WITHOUT A RECORDED VERIFIABLE REFERENCE — tonight a reported push verified NOT-ANCESTOR, and closures with no SHA cannot be audited at all"
command-strict-verify-10pct-flaky,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1558,https://github.com/rrnewton/hermit/pull/1558,,,hermit-238b,"P1: SECOND flaky cell — `command_strict_verify` measured 9 PASS / 1 FAIL of 10 under load (10% flaky = RED), independent of the reverie pin"
common_lazy_backend_stats,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1412,https://github.com/rrnewton/hermit/pull/1412,,https://github.com/rrnewton/reverie/pull/327,,Common lazy backend-stats interface and Hermit end-of-run summary
cpu-affinity-has-no-allocator-boxed-runs-are-not-isolated,IN_PROGRESS,UNVERIFIABLE,implementation-claim-without-verifiable-reference,,,,hermit-231b,P1 (OWNER ASKED): CPU affinity — the runner READS `cpuset.cpus.effective` but appears never to WRITE it. Boxed runs get memory limits and NO core isolation.
crate-versions-0.2.0-floor,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1219,https://github.com/rrnewton/reverie/pull/325",,,"https://github.com/rrnewton/hermit/pull/1219,https://github.com/rrnewton/reverie/pull/325",hermit-247,P1: bump ALL crates to a 0.2.0 floor (detcore + any at 0.0.0/0.1.x) for public release; thereafter independent semver per crate
dbi-ci-timeout-investigation,IN_PROGRESS,LANDED,tracked-artifact=ai_docs/dbi-pr1147-ci-hang-postexec-time-rewind_20260730.md,,,,hermit-231b,P1: Investigate DBI test CI timeouts (run_dbi_verifies_shell_process_lifecycle + others hang on rerun)
dbi-m4-multiprocess,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1221,https://github.com/rrnewton/hermit/pull/1221,,,,DBI M4: Multi-process support — fork/exec under DBI with coordinator IPC
dbi_preemption_via_safe,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/reverie/pull/294; tracked-artifact=ai_docs/dbi-corpus-hangs-preemption-ceiling-and-exit-group-teardown_20260731.md,,https://github.com/rrnewton/hermit/pull/1180,https://github.com/rrnewton/reverie/pull/294,,DBI preemption via SAFE-POINT delivery (fix 6 corpus HANGs; clean-call scheduler turn is a dead-end)
dbt-corpus-round-nongated-3,IN_PROGRESS,IN-FLIGHT,"open-pr=https://github.com/rrnewton/hermit/pull/1227,https://github.com/rrnewton/hermit/pull/1242,https://github.com/rrnewton/hermit/pull/1245,https://github.com/rrnewton/hermit/pull/1246,https://github.com/rrnewton/hermit/pull/1247,https://github.com/rrnewton/hermit/pull/1250","https://github.com/rrnewton/hermit/pull/1227,https://github.com/rrnewton/hermit/pull/1242,https://github.com/rrnewton/hermit/pull/1245,https://github.com/rrnewton/hermit/pull/1246,https://github.com/rrnewton/hermit/pull/1247,https://github.com/rrnewton/hermit/pull/1250,https://github.com/rrnewton/hermit/pull/1252,https://github.com/rrnewton/hermit/pull/1299,https://github.com/rrnewton/hermit/pull/1303,https://github.com/rrnewton/hermit/pull/1306,https://github.com/rrnewton/hermit/pull/1308,https://github.com/rrnewton/hermit/pull/1311,https://github.com/rrnewton/hermit/pull/1312,https://github.com/rrnewton/hermit/pull/1314,https://github.com/rrnewton/hermit/pull/1316,https://github.com/rrnewton/hermit/pull/1317,https://github.com/rrnewton/hermit/pull/1318,https://github.com/rrnewton/hermit/pull/1320,https://github.com/rrnewton/hermit/pull/1323,https://github.com/rrnewton/hermit/pull/1365,https://github.com/rrnewton/hermit/pull/1380,https://github.com/rrnewton/hermit/pull/1393,https://github.com/rrnewton/hermit/pull/1464,https://github.com/rrnewton/hermit/pull/1470","https://github.com/rrnewton/hermit/pull/1239,https://github.com/rrnewton/hermit/pull/1248,https://github.com/rrnewton/hermit/pull/1249,https://github.com/rrnewton/hermit/pull/1253,https://github.com/rrnewton/hermit/pull/1257,https://github.com/rrnewton/hermit/pull/1258,https://github.com/rrnewton/hermit/pull/1259,https://github.com/rrnewton/hermit/pull/1260,https://github.com/rrnewton/hermit/pull/1261,https://github.com/rrnewton/hermit/pull/1262,https://github.com/rrnewton/hermit/pull/1263,https://github.com/rrnewton/hermit/pull/1264,https://github.com/rrnewton/hermit/pull/1265,https://github.com/rrnewton/hermit/pull/1268,https://github.com/rrnewton/hermit/pull/1270,https://github.com/rrnewton/hermit/pull/1272,https://github.com/rrnewton/hermit/pull/1274,https://github.com/rrnewton/hermit/pull/1277,https://github.com/rrnewton/hermit/pull/1279,https://github.com/rrnewton/hermit/pull/1280,https://github.com/rrnewton/hermit/pull/1282,https://github.com/rrnewton/hermit/pull/1284,https://github.com/rrnewton/hermit/pull/1286,https://github.com/rrnewton/hermit/pull/1289,https://github.com/rrnewton/hermit/pull/1292,https://github.com/rrnewton/hermit/pull/1295,https://github.com/rrnewton/hermit/pull/1297,https://github.com/rrnewton/hermit/pull/1301,https://github.com/rrnewton/hermit/pull/1309,https://github.com/rrnewton/hermit/pull/1321,https://github.com/rrnewton/hermit/pull/1324,https://github.com/rrnewton/hermit/pull/1326,https://github.com/rrnewton/hermit/pull/1328,https://github.com/rrnewton/hermit/pull/1330,https://github.com/rrnewton/hermit/pull/1331,https://github.com/rrnewton/hermit/pull/1332,https://github.com/rrnewton/hermit/pull/1334,https://github.com/rrnewton/hermit/pull/1336,https://github.com/rrnewton/hermit/pull/1337,https://github.com/rrnewton/hermit/pull/1339,https://github.com/rrnewton/hermit/pull/1340,https://github.com/rrnewton/hermit/pull/1342,https://github.com/rrnewton/hermit/pull/1343,https://github.com/rrnewton/hermit/pull/1346,https://github.com/rrnewton/hermit/pull/1347,https://github.com/rrnewton/hermit/pull/1348,https://github.com/rrnewton/hermit/pull/1349,https://github.com/rrnewton/hermit/pull/1350,https://github.com/rrnewton/hermit/pull/1351,https://github.com/rrnewton/hermit/pull/1352,https://github.com/rrnewton/hermit/pull/1353,https://github.com/rrnewton/hermit/pull/1355,https://github.com/rrnewton/hermit/pull/1356,https://github.com/rrnewton/hermit/pull/1358,https://github.com/rrnewton/hermit/pull/1374,https://github.com/rrnewton/hermit/pull/1377,https://github.com/rrnewton/hermit/pull/1461","https://github.com/rrnewton/hermit/pull/1255,https://github.com/rrnewton/hermit/pull/1360,https://github.com/rrnewton/hermit/pull/1363,https://github.com/rrnewton/hermit/pull/1366,https://github.com/rrnewton/hermit/pull/1370,https://github.com/rrnewton/hermit/pull/1376,https://github.com/rrnewton/hermit/pull/1378,https://github.com/rrnewton/hermit/pull/1379,https://github.com/rrnewton/hermit/pull/1382,https://github.com/rrnewton/hermit/pull/1383,https://github.com/rrnewton/hermit/pull/1384,https://github.com/rrnewton/hermit/pull/1385,https://github.com/rrnewton/hermit/pull/1387,https://github.com/rrnewton/hermit/pull/1388,https://github.com/rrnewton/hermit/pull/1420,https://github.com/rrnewton/hermit/pull/1465",,P2: DBT non-gated corpus work-ahead — next non-time/non-preemption corpus batch toward parity
dbt-ratchet-round2-nongated,IN_PROGRESS,LANDED,tracked-artifact=ai_docs/dbt-ratchet-round2-stdout-diverge-triage_20260731.md,,,,,"P2: DBT ratchet round 2 (non-gated batch) — next non-time STDOUT_DIVERGE fd-hygiene batch (NOT the owner-gated time/clock family, NOT the exit_group HANG) identified in PR #1218 round"
demo5-fix-pmu-skid-reverie-robustness,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/reverie/pull/313,https://github.com/rrnewton/reverie/pull/313,https://github.com/rrnewton/hermit/pull/1341,,hermit-250,"P0: PMU over-skid handling — bump skid-margin default (this machine) + over-skid FATAL by default + --no-exit-on-overskid flag; root-cause why over-skid WEDGES (must be nondeterminism, not crash/wedge)"
demo5-fix-qemu-icount-idlewarp,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1215; tracked-artifact=experiments/demo5_icount_sleep_on_20260731/,,,https://github.com/rrnewton/hermit/pull/1215,,"P1 SPECULATIVE (branch-only, no-land): demo5 fix via QEMU -icount sleep=on idle-warp — does it boot demo5 under hermit?"
derive-test-footprints-from-cargo-metadata,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1526,,,https://github.com/rrnewton/hermit/pull/1526,hermit-247,P1: test-selection path→node map is hand-maintained (ci/test-footprints.json) — derive it from the real cargo dependency graph so it cannot drift
determinize-ghc-rts-ticker,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1213,https://github.com/rrnewton/hermit/pull/1213,,,,Determinize GHC RTS context-switch ticker (-C) under hermit so STOCK parallel GHC is reproducible
document_compatibility_ratchet_provenance,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1546,https://github.com/rrnewton/hermit/pull/1546,,https://github.com/rrnewton/hermit/pull/1541,hermit-247,Document compatibility ratchet provenance in validate.sh
drain_1556_soft_landed,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1556,,"https://github.com/rrnewton/hermit/pull/1566,https://github.com/rrnewton/hermit/pull/1570",https://github.com/rrnewton/hermit/pull/1556,,DRAIN: #1556 soft-landed by drain agent (session c9402b3d)
e2e-python-script-determinism,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1229,https://github.com/rrnewton/hermit/pull/1229,,,,P2: new e2e determinism test — a small real Python3 script exercising dict/hash iteration +
e2e_coreutils_shuf_permutation,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1269,,,https://github.com/rrnewton/hermit/pull/1269,,e2e coreutils shuf permutation determinism test
e2e_data_handling_jq,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1256,,,https://github.com/rrnewton/hermit/pull/1256,,e2e: data-handling/jq-json-transform jq determinism test
e2e_language_runtimes_tcl,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1254,https://github.com/rrnewton/hermit/pull/1254,,,,e2e: language-runtimes/tcl-rand-clock Tcl determinism test
e2e_lua_5_4,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1271,,,https://github.com/rrnewton/hermit/pull/1271,,e2e Lua 5.4 math.random determinism test
e2e_m4_macro_processor,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1266,,,https://github.com/rrnewton/hermit/pull/1266,,e2e m4 macro-processor determinism test
e2e_mktemp_name_determinism,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1283,,,https://github.com/rrnewton/hermit/pull/1283,,e2e mktemp-name determinism test
e2e_openssl_ed25519_keygen,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1273,,,https://github.com/rrnewton/hermit/pull/1273,,e2e OpenSSL Ed25519 keygen determinism test
e2e_openssl_enc_determinism,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1278,,,https://github.com/rrnewton/hermit/pull/1278,,e2e openssl-enc determinism test
e2e_perl_random_determinism,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1287,,,https://github.com/rrnewton/hermit/pull/1287,,e2e perl-random determinism test
e2e_proc_random_uuid_2,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1290,,,https://github.com/rrnewton/hermit/pull/1290,,e2e proc-random-uuid determinism test
e2e_python_hashseed_determinism,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1296,https://github.com/rrnewton/hermit/pull/1296,,,,e2e python-hashseed determinism test
e2e_ruby_random_determinism,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1276,,,https://github.com/rrnewton/hermit/pull/1276,,e2e ruby-random determinism test
e2e_rust_hashmap_iteration,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1241,,,https://github.com/rrnewton/hermit/pull/1241,,e2e: Rust HashMap iteration-order determinism test (#122)
e2e_sort_random_determinism,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1281,,,https://github.com/rrnewton/hermit/pull/1281,,e2e sort-random determinism test
e2e_sqlite_database_engine,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1244,https://github.com/rrnewton/hermit/pull/1244,,,,e2e: SQLite database-engine determinism test (#122)
e2e_system_utils_openssl,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1251,,,https://github.com/rrnewton/hermit/pull/1251,,e2e: system-utils/openssl-rand DRBG determinism test
e2e_test_c_stl,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1234,,,https://github.com/rrnewton/hermit/pull/1234,,E2E test: C++ STL determinism under hermit --strict --verify (#122)
e2e_test_coreutils_shuf,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1237,https://github.com/rrnewton/hermit/pull/1237,,,,E2E test: coreutils shuf/sort -R pipeline determinism under hermit --strict --verify (#122)
e2e_uuidgen_random_determinism,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1285,,,https://github.com/rrnewton/hermit/pull/1285,,e2e uuidgen-random determinism test
e9patch_ptw_promote_agreed_subset,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1544,https://github.com/rrnewton/hermit/pull/1544,,,hermit-ptw,Promote AGREED e9patch power-to-weight subset (KEEPs 2-5 only) via shared TOML
enable-cgroups-and-cpu-timeouts-across-dag-nodes,IN_PROGRESS,IN-FLIGHT,"open-pr=https://github.com/rrnewton/hermit/pull/1547,https://github.com/rrnewton/hermit/pull/1555","https://github.com/rrnewton/hermit/pull/1547,https://github.com/rrnewton/hermit/pull/1555",,https://github.com/rrnewton/hermit/pull/1556,hermit-231b,P1: cpu_timeout declarations across the 54 DAG nodes — NOTE: the '--cgroups is never passed' premise was FALSE (it's a deprecated no-op; Python boxes by default)
every-agentic-command-needs-quickstart,IN_PROGRESS,IN-FLIGHT,open-phabricator-diff,,,,hermit-251,"P1: EVERY agentic command `foo` must have `foo quickstart` — an agent-facing primer, referenced FROM skills rather than duplicated in them, and covered by the docs-as-tests checker"
fix-1571-portable-dag-manifest-gate-failure,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1571,https://github.com/rrnewton/hermit/pull/1571,,,hermit-ptw,P1: #1571 fails the 'portable CI DAG manifest' gate in 55s at e8579372 — the actual blocker for the backend-convergence prereq (NOT the OOM story)
fix-ci-manifest-guests-timeout-headroom,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1195,,,https://github.com/rrnewton/hermit/pull/1195,hermit-231b,"P2: build.manifest_guests at 83.3% of timeout (75s/90s, 15s headroom) — bump timeout or split before it starts timing out"
fix-commit-is-destructive-rule-misfire,IN_PROGRESS,IN-FLIGHT,open-phabricator-diff,,,,hermit-251,"P0: the agent dispatch protocol lists `commit` as a DESTRUCTIVE SCM op — agents are refusing to commit their own work by policy, and it is causing real work loss TODAY"
fix-execd-sibling-admission-quiescence,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1160; tracked-artifact=ai_docs/sigchld-timed-waiters-determinization-design.md,,,https://github.com/rrnewton/hermit/pull/1160,,P1: Deterministic admission-quiescence for equal-vtime exec'd siblings (residual make -jN nondeterminism)
fix-kvm-detpid-mismatch,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1120,https://github.com/rrnewton/reverie/pull/238; tracked-artifact=ai_docs/kvm-perf-attribution-startup-not-vmexit_20260802.md,experiments/kvm_detpid_ratchet_20260802/,experiments/kvm_fullcorpus_scorecard_20260801",,,"https://github.com/rrnewton/hermit/pull/1120,https://github.com/rrnewton/reverie/pull/238",,Fix: KVM backend assigns different DetPids than ptrace (DetPid(1) vs DetPid(3))
fix-load-dependent-scheduling-vtime,IN_PROGRESS,LANDED,"tracked-artifact=ai_docs/load-dependent-scheduling-vtime-rootcause-and-fix-design_20260802.md,ai_docs/load-dependent-scheduling-vtime-rootcause-and-fix-design_20260802.md",,https://github.com/rrnewton/hermit/pull/1469,,,P1: --strict scheduler makes a LOAD-DEPENDENT number of scheduling decisions for timer/wall-clock-driven workloads → --verify breaks under heavy host load (caught by the stress torture; demo5 clock-domain/vtime family)
fix-parallel-make-determinism,IN_PROGRESS,LANDED,tracked-artifact=ai_docs/sigchld-timed-waiters-determinization-design.md,,,,,P1: Fix parallel `make -jN` execution-determinism under hermit (jobserver + vfork/SIGCHLD/pselect6/wait4 divergence)
fix-pr1180-rustdoc-link,IN_PROGRESS,UNVERIFIABLE,implemented-tag-without-implementation-reference,,,,,P2: #1180 shallow red — rustdoc broken link
fix_kvm_detlog_verify,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1191,https://github.com/rrnewton/reverie/pull/301",,,"https://github.com/rrnewton/hermit/pull/1191,https://github.com/rrnewton/reverie/pull/301",,fix-kvm-detlog-verify-vdso-uname
flip-merge-tree-default-on-for-planning,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/agent-utils/pull/14; main-sha=agent-utils:eeaa14daa9f9,dev-hermit:705639654c7b,dev-hermit:c9c54a707664,dev-hermit:705639654c7b",,,https://github.com/rrnewton/agent-utils/pull/14,hermit-243,P1: turn the pr_status MERGE-TREE engine ON BY DEFAULT for planning runs — MEASURED derivation: fetch 2.91s (one-time) + 36.5ms/PR = ~7s for the entire open set
fold_edit_distance_into,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1582@b0b648bc68da6a8da483867c7a2d0121fbf2aad7:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1582,,hermit-247,Fold edit-distance into detcore before 0.2 publication
force-skid-witness-injection,IN_PROGRESS,IN-FLIGHT,"open-pr=https://github.com/rrnewton/hermit/pull/1576,https://github.com/rrnewton/reverie/pull/361","https://github.com/rrnewton/hermit/pull/1576,https://github.com/rrnewton/reverie/pull/361",,,hermit-250,P1: build a FORCE-SKID WITNESS — deliberate overshoot injection so the skid-gated retry can be verified by planting a violation rather than waiting for a rare one
goal-completion-check-for-landed-pr-tasks,IN_PROGRESS,UNVERIFIABLE,implemented-tag-without-implementation-reference,,,,hermit-238b,"P1: the 38 LANDED-CONFIRMED tasks need a GOAL-completion check — landed PR is not a met goal, and 2 of the 38 are live assigned work"
gvisor-systrap-benchmark-repro,IN_PROGRESS,LANDED,"tracked-artifact=experiments/benchmark-v3,experiments/gvisor-systrap-benchmark-repro-20260802/README.md",,,,hermit-238b,"P1: reproduce the gvisor systrap blog benchmarks — getpid first, then Build-ABSL/ffmpeg/Tensorflow/Redis-SET; 3 tiers (counter2 / hermit-relaxed / hermit-strict) per backend"
gvisor-writeup-overhaul-colleague-ready,IN_PROGRESS,LANDED,"main-sha=dev-hermit:622773292011,dev-hermit:622773292011",,,,,P1: overhaul the gvisor-same-host experiment WRITEUP (no rerun) into a colleague-ready mini-paper
hb-impl-anchor-model,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1162; tracked-artifact=ai_docs/transient/2026-07-28-happens-before-edges.md,,,https://github.com/rrnewton/hermit/pull/1162,,P1: Happens-before anchors — function(+line via debuginfo) on thread T after N syscalls / M RBCs (deprioritize Nth-call addressing)
hermit-02-release-readiness-assessment,IN_PROGRESS,LANDED,"main-sha=hermit:0f891e432a75,reverie:bfea4d5aa7d6",,https://github.com/rrnewton/hermit/pull/1550,,hermit-247,"P0: hermit 0.2 release readiness — assess + drive the actual release path (version/--version, crates.io publish dry-run, repo-split, fbsource import pair)"
hermit-container-runtime-prototype,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1179; tracked-artifact=ai_docs/hermit-container-runtime-prototype_20260730.md,,,https://github.com/rrnewton/hermit/pull/1179,,P1 PROTOTYPE: hermit-as-container-runtime — OCI rootfs (containers/image+storage) + hermit mount-ns/pivot_root → deterministic FILE INPUTS
hermit-features-cfg-review,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1433,https://github.com/rrnewton/hermit/pull/1434",,,"https://github.com/rrnewton/hermit/pull/1433,https://github.com/rrnewton/hermit/pull/1434",,"P1: review hermit's current cargo FEATURES + conditional compilation (#[cfg]/feature gates) — what exists, defaults, which backends are gated, is it consistent with the release plan"
